# Expensive Metro Buildings
metro_expensive_building_tier_1_cost = 250
metro_expensive_building_tier_2_cost = 500
metro_expensive_building_tier_3_cost = 750
metro_expensive_building_tier_4_cost = 1000
metro_expensive_building_tier_5_cost = 1250
metro_expensive_building_tier_6_cost = 1500
metro_expensive_building_tier_7_cost = 1750
metro_expensive_building_tier_8_cost = 2000

# Expensive Metro Buildings
metro_main_building_tier_1_cost = 750
metro_main_building_tier_2_cost = 1500
metro_main_building_tier_3_cost = 2250
metro_main_building_tier_4_cost = 3000

# Building Construction Times
very_very_quick_construction_time = 150
